No,code,name,explanation_vietnamese,Definition,Long-Term
24,500-5000-0053,Rest Area,Khu vực dừng chân - Trạm dừng. (Một cở sở nằm trên đường quốc lộ/ cao tốc mà cung cấp nhà vệ sinh và chỗ đậu xe),An establishment along a motorway (controlled access road) that provides restrooms and parking. This is a base-level category that should be used for all Places that do not fit other categories defined for Rest Area (400-4300-xxxx).,
25,500-5100-0057,Hotel,Khách sạn,"An establishment that provides short-term or extended stay lodging. Places in this category may also provide other services and amenities, such as meals, entertainment, dry cleaning and various other personal services.",
26,550-5510-0202,Guest House,Nhà nghỉ,An establishment that provides lodging in an adjacent building next to the main structure. Guest houses are generally a small house or cottage.,
27,550-5510-0378,Bicycle and Bicycle Accessories Shop,Cửa hàng xe dạp và phụ kiện xe đạp - Kinh doanh bán xe đạp và phụ kiện xe đạp.,A business that sell bicycles and bicycle accessories.,
28,550-5520-0207,Park-Recreation Area,"Công viên giải trí - Khu vực an ninh được chăm sóc và duy trì cho công cộng, thường thân thiện môi trường, tự nhiên, có cây xanh (Vd: Công viên Tao đàn, Công viên Gia Định, hoặc Hồ Tuyền Lâm..)",A protected area preserved and maintained for public enjoyment including fairgrounds.,
29,550-5520-0208,Campsite,Khu cắm trại - Một khu vực được chỉ định mọi người có thể sử dụng lều hoặc xe tải cắm trại để ở ngoài trời qua đêm.,A designated area where people can camp using tents or camper vans for overnight stays in the outdoors.,
30,550-5520-0210,Amusement Park,"Công viên giải trí - Công viên với nhiều loại hình giải trí, trò chơi, dịch vụ giải trí. vd: Đầm Sen, Suối Tiên...","An establishment that provides a park containing rides or other entertainment. Certain amusement parks may be theme-based. For example, Disney World, Sea World or Six Flags.",
31,550-5520-0211,Zoo,"Sở thú, thảo cầm viên - Một cơ sở nơi các loài vật được nuôi trông lồng hoặc khu vực riêng.",An establishment where animals are exhibited in cages or large enclosures for the public.,
32,550-5520-0357,Wildlife Refuge,"Khu bảo tồn động vật hoang dã - Cơ sở nơi động vật được nuôi dưỡng và trưng bày trong môi trường tự nhiên của chúng. vd: Safari Phuốc Quốc, Safari Qui Nhơn...",An establishment where animals are exhibited in their natural environment for the public.,
33,600-6000-0061,Aquarium,Thủy cung - Nơi cá và các sinh vật dươí nước được nuôi và trưng bày.,An establishment where fish and other aquatic life are exhibited.,
34,600-6100-0062,Water Park,"Công viên nước - Công viên nước thường bao gồm máng trượt nước, miếng đệm nước, sân phun nước (sân chơi nước), dòng sông lười hoặc các tiện nghi liên quan khác.","An establishment that provides access to recreational water areas. Water parks generally include water slides, splash pads, spray grounds (water playgrounds), lazy rivers or other related amenities.",
35,600-6200-0063,Convenience Store,"Cửa hàng tiện lợi, tạp hóa, bách hóa - Nơi bán đồ tiêu dùng như : kẹo, đồ dùng vệ sinh, nước ngọt, sản phẩm thuốc lá, báo, thức ăn nhanh....","An establishment that sells groceries, candy, toiletries, soft drinks, tobacco products, newspapers and other products. Some convenience stores may be part of a petro/fuel station.",
36,600-6300-0064,Shopping Mall,"Trung tâm mua sắm - Trung tâm thương mại. Nơi có nhiều thương hiệu và cung cấp đa dạng về các loại hình sản phẩm như: tiêu dùng, bách hóa, điện máy, thời trang, trang sức, và cả nhà hàng, siêu thị, cửa hàng tiện lợi.v.v..","A complex of businesses that are co-located and share common services. Shopping malls generally include a variety of retail businesses, such as clothing, electronics, jewelry, restaurants and more. Common examples of shopping malls include covered shopping centers, strip malls, famous shopping streets, factory outlets and open air shopping centers.",
37,600-6300-0066,Department Store,"Các sạp, gian hàng, store nhỏ buôn bán trong trung tâm thương mại, hay được phân loại theo khu vực (deparment) vd: sạp bán nước hoa Dior, sạp bán tinh dầu, sạp bán bánh kẹo….","A business that sells a wide variety of merchandise that is organized by product or service departments. Departments generally include clothing, garden, electronics, photo services, household goods, pets, toys and more.",
38,600-6300-0068,Food-Beverage Specialty Store,"Hàng quán, cơ sở kinh doanh buôn bán đồ ăn, đồ uống và CHUYÊN BIỆT về 1 loại sản phẩm cụ thể. Thường phải có nhà cửa, ghế ngồi lại. Quy mô nhỏ, quán cóc hoặc có thể lớn. Như là tiệm kem, tiệm bánh trán trộn, quán cá viên chiên... trà sữa, sinh tố","A business that sells specialty products of a particular type of food or beverage, such as ice cream, meat, cheese, coffee or other unprepared foods.",
39,600-6300-0244,Grocery,"Cửa hàng tạp hóa - Nơi bán lượng lớn thực phẩm đa dạng bao gồm những sản phẩm tươi, thực phẩm động lạnh, sản phẩm đóng gói, mặt hàng bánh và sản phẩm từ thịt... ( Phải bán thịt, cá, hàng chợ thì mới là grocery, còn chỉ đồ tiêu dùng thôi thì sẽ là convenience store)","A business that sells a large variety of food including fresh produce, frozen foods, packaged goods, bakery items and meat products.",
40,600-6300-0363,Wine and Liquor,"Cửa hàng bia rượu - Nơi bán sản phẩm như bia thùng, sản phẩm rượu.","A business that sells packaged beer, wine and liquor products.",
41,600-6400-0070,Bakery and Baked Goods Store,"Tiệm bánh, Cửa hàng Bánh: nơi bán bánh mì và các sản phẩm bánh nướng khác. vd: ABC, Đức Phát, Những Chàng Trai...","A business that sells bread and other baked goods. Common examples include cupcake shops, bagel shops and other types of bakeries.",
42,600-6500-0072,Butcher,"Cửa hàng, quầy thịt - nơi chuyên bán thịt tươi và hàng hóa liên quan đến thịt như bao tử, lòng, phèo, huyết...",A specialty store where fresh meats and associated goods are available.,
43,600-6500-0075,Drugstore,Hiệu thuốc - (hiện không dùng Cate này nữa),"A business that sells prescription and non-prescription medications in addition to other consumer goods, such as cosmetics, snacks, beverages and tobacco products.",
44,600-6600-0077,Pharmacy,"Nhà thuốc, tiệm thuốc chung, nơi buôn bán và phân phối các mặt hàng liên quan đến dược phẩm, thuốc men","A business that prepares and dispenses pharmaceutical drugs, medicines and other health remedies.",
45,600-6600-0078,Consumer Electronics Store,"Cửa hàng điện tử tiêu dùng - Doanh nghiệp bán đồ điện tử và giải trí (điện thoại, TV và hệ thống game.) và cả đồ gia dụng sử dụng điện ( tủ lạnh, quạt, nồi microwave, máy xay sinh tố, máy đánh trứng..)  Vd: Nguyễn Kim, Lock&Lock, …","A business that sells consumer and entertainment electronics such as cooking/washing appliances, televisions, and gaming systems.",
46,600-6600-0079,Market,Chợ,"A public marketplace where fresh fruits, vegetables, meat, and other farm products are sold. Some markets also sell other types of merchandise.",
47,600-6600-0080,Computer and Software,"Cửa hàng máy tính: buôn bán chuyên về sản phẩm máy tính bao gồm phần cứng, phần mềm và các phụ kiện liên quan như bao chóng sốc, quạt tản nhiệt, chuột, cục sạc, pin… Vd: Phong Vũ","A business that sells computer goods, such as hardware, software and related accessories.",
48,600-6600-0082,Home Improvement-Hardware Store,"Vật liệu xây dựng - Cửa hàng Vật liệu thô như xi măng, inox, sắt, đá hoa cương, đá lót...
Hoặc bán các sản phẩm cải tiến nhà như bồn cầu, vòi hoa sen, bồn tắm, bồn rửa tay","A business that sells a variety of building materials, hardware, and home improvement products.",
49,600-6600-0083,Home Specialty Store,"Cửa hàng phụ kiện nội thất: bán các sản phẩm TIỂU TIẾT chuyên dụng cho việc trang trí nội thất, (vd: bản lề, nút tủ, tay cầm cửa, phù điêu, xào phơi..) và cả dịch phụ thiết kế, điều chỉnh cho nội thất.","A business that sells home furnishings and accessories, but also specializes in custom furniture and other household items.",
50,600-6600-0084,Floor and Carpet,"Doanh nghiệp chuyên bán Sàn và Thảm - Doanh nghiệp kinh doanh sàn và thảm. ( vd: gỗ lót sàn, tấm lót xi măng., thảm trải..)",A business that sells flooring and carpeting.,
51,600-6600-0319,Furniture Store,"Cửa hàng nội thất - Doanh nghiệp bán nội thất và phụ kiện gia đình. vd: giường, tủ, kệ, sofa, bàn ăn, ghế, rèm cửa, đèn ngủ.. và các các sản phẩm gia dụng không sử dụng điện (nồi, chảo, chén, bát, thớt, dao..)",A business that sells furnishings and accessories for a home.,
52,600-6700-0087,Garden Center,Vật tư sân vườn: Cửa hàng bán đồ làm vườn.,"A business that sells a variety of lawn and garden supplies, tools and other related items.",
53,600-6800-0000,Glass and Window,"Cửa hàng, doanh nghiệp kinh doanh sản phẩm và dịch vụ liên quan đến gương, kính và cửa sổ ( bao gồm lắp đặt)","A business that sells windows, glass products and window treatments. These establishments may also provide window installation services.",
54,600-6800-0089,Lumber,"Cửa hàng gỗ, vật liệu gỗ - Doanh nghiệp bán sản phẩm làm từ gỗ.",A business that sells timber products.,
55,600-6800-0090,Paint Store,Cửa hàng sơn - Doanh nghiệp bán sơn và các sản phẩm liên quan.,A business that sells paint and other related products.,
56,600-6800-0091,Bookstore,"Hiệu Sách, tiệm sách - Doanh nghiệp nhỏ lẻ bán chủ yếu là sách.",A retail business that primarily sells books.,
57,600-6800-0092,Clothing and Accessories,"Quần áo và phụ kiện. Doanh nghiệp bán các mặt hàng may mặc, phụ kiện thời trang chung chung cho nam, nữ và trẻ em.","A business that sells apparel items, garments or fashion accessories for men, women, and children. This is a base-level category that should be used for all Places that do not fit other categories defined for Clothing and Accessories (600-6800-xxxx).",
58,600-6900-0000,Men's Apparel,Trang phục nam - Kinh doanh trang phục và phụ kiện cho nam.,A business that sells men's wear and accessories.,
59,600-6900-0094,Women's Apparel,Trang phục nữ - Kinh doanh trang phục và phụ kiện cho nữ.,A business that sells women's wear and accessories.,
60,600-6900-0095,Children's Apparel,Trang phục trẻ em - Kinh doanh trang phục và phụ kiện cho trẻ em,A business that sells children's wear and accessories.,
61,600-6900-0096,Shoes-Footwear,Cửa hàng giầy - Kinh doanh bán giày.,A business that sells shoes.,
62,600-6900-0097,Consumer Goods,"Hàng tiêu dùng - sản phẩm tiêu dung như là xà bông, thức ăn nhanh, bánh snack, sữa... KHÔNG có thịt, cá, rau, củ nhe",A business that sells a variety of products targeted to consumers. This is a base-level category that should be used for all Places that do not fit other categories defined for Consumer Goods (600-6900-xxxx).,
63,600-6900-0101,Sporting Goods Store,"Cửa hàng dụng cụ thể thao - và các mặt hàng liên quán đến thể thao (vd: quần áo thể thao, vượt tennis, banh tennis...)",A business that sells individual and team sports equipment and other related items.,
64,600-6900-0103,Office Supply and Services Store,"Văn phòng phẩm và dịch vụ văn phòng - kinh doanh vật tư văn phòng. Các doanh nghiệp này cung cấp dịch vụ chuyên dụng (In ấn, photocopy, thiết kế đồ họa, vận chuyển và quảng cáo).","A business that sells office supplies. These businesses may also provide select professional business services, such as printing, photocopying, graphic design, shipping and advertising.",
65,600-6900-0105,Specialty Store,"Cửa hàng Sản phẩm chuyên biệt - kinh doanh MỘT loại hàng hóa cụ thể và chuyên cho sản phẩm đó luôn (vd: nến, đồ lót, dép thái lan, xà bông handmade, tỏi Lý Sơn, khô gà, thuốc lá...)","A business that specializes in the sale of a specific type of merchandise. For example, a candle store, t-shirts shop or other.",
66,600-6900-0106,Pet Supply,Dịch vụ thú cưng - Kinh doanh sản phẩm và dịch vụ cho thú cưng.,A business that sells goods and services for pets.,
67,600-6900-0108,Flowers and Jewelry,"Tiệm hoa (Shop hoa) và Trang sức - Kinh doanh mua bán hoặc các dịch vụ liên quan trang sức, hoa tươi.","A business that sells that buys and sells jewelry, or that sells and arranges plants and cut flowers.",
68,600-6900-0246,"Gift, Antique and Art","Shop quà tặng, đồ cổ và nghệ thuật - Kinh doanh bán đồ cổ nghệ thuật, quà, đồ ĐỘC LẠ, lưu niệm (vd: sổ tay, quà lưu niệm, thiệp, lưu bút, mấy món đồ kỳ dị như lưới nhện, đầu lâu phát sáng, đèn hộp chiếu sao..)","A business that sells antiques, art, gifts, novelty items, souvenir items or greeting cards.",
69,600-6900-0247,"Record, CD and Video","Tiệm CD, băng đĩa",A business that sells audio and video media.,
70,600-6900-0248,Video and Game Rental,"Cho thuê Video và Game - kinh doanh thuê băng video, DVD, hoặc trò chơi điện tử.","A business that rents videotapes, DVDs, or electronic games.",
71,600-6900-0251,Vaping Store,Cửa hàng vaping - Cửa hàng bán thuốc lá điện tử và phụ kiện vaping khác.,A business that sells electronic cigarettes (also referred to as vaporizers) and other vaping accessories.,
72,600-6900-0305,Motorcycle Accessories,Phụ kiên xe máy- Doanh nghiệp kinh doanh phụ kiện xe máy.,A business that sells motorcycle accessories.,
73,600-6900-0358,Used-Second Hand Merchandise Stores,"Cửa hàng đồ đã qua sử dụng - Kinh doanh hàng hóa đã qua sử dụng như quần áo, đồ nội thất và đồ chơi. Hàng hóa trong kho cực kỳ đa dạng.(vd: đồ 2nd hand, đồ cũ)","A business that sells previously owned and used merchandise, such as clothing, books, furniture and toys. Inventory in these stores varies widely.",
74,600-6900-0388,Adult Shop,"Cửa hàng người lớn - Kinh doanh mặt hàng dành riêng cho người lớn, có liên quan đến tình dục.","A business that sells items made specifically for adult use, often with sexual connotations.",
75,600-6950-0000,Toy Store,Cửa hàng đồ chơi - Tự làm hoặc buôn bán đồ chơi.,A business that makes or sells toys.,
76,600-6950-0399,Hunting-Fishing Shop,"Cửa hàng săn bắn, câu cá - kinh doanh mặt hàn liên quan (ủng, cần câu, cuộn và một số phụ kiện khác).","A business that sells hunting or fishing-related items, such as boots, waders, rods, reels and other accessories.",
77,700-7000-0107,Hair and Beauty,"Cửa hàng chăm sóc tóc và sắc đẹp như: Hair salon cung cấp dịch vụ tạo kiểu tóc và trang điểm cá nhân. Ở đây có thể bán các sản phẩm tóc và các mặt hàng mỹ phẩm liên quan khác. (wax, dưỡng tóc, thuốc nhuộm, dầu xã...) hoặc Shop Mỹ Phẩm, làm đẹp. ( son môi, phấn mắt, lotion, kem chống nắng..)",A business that provides hair styling and personal appearance services. Places in this category may also sell hair products and other related cosmetic items. This is a base-level category that should be used for all Places that do not fit other categories defined for Hair and Beauty (600-6950-xxxx).,
78,700-7010-0108,Barber,Tiệm hớt tóc NAM- cung cấp dịch vụ cắt tóc và có dịch vụ cạo/ tỉa râu.,"A business that provides hair cutting services, especially for men, and may offer shaves or beard trims.",
79,700-7100-0000,Bank,"Ngân hàng - Doanh nghiệp chuyên bảo trì, cho vay, trao đổi hoặc phát hàn tiền. Các vị trí trong danh mục này bao gồm ngân hàng trung tâm, ngân hàng nhỏ lẻ và tín dụng.","A business that specializes in the maintenance, lending, exchange, or issuance of money. Places in this category commonly include central banks, consumer banks and credit unions.",
80,700-7200-0253,ATM,"ATM - Thiết bị cung ấp khả năng gửi, rút hoặc chuyển tiên mà không cần sư trợ giúp của giao dịch viên ngân hàng.","A computer terminal that provides the ability to deposit, withdraw, or transfer funds without the assistance of a bank teller.",
81,700-7200-0254,Communication-Media,"Phương tiện truyền thông - Cung cấp dịch vụ truyền thông (ngoại trừ qua liên lạc qua điện thoại). Vd: Đài truyền hình, Đài phát thanh...","A business that provides communication services, with the exception of telephone communications. This is a base-level category that should be used for all Places that do not fit other categories defined for Communication-Media (700-7100-xxxx) categories.",
82,700-7200-0257,Catering and Other Food Services,"Dịch vụ cung cấp đồ ăn cho các sự kiện. Vd: Bánh kem đãi khách tham gia, đồ ăn tặng mang về","A business that provides a single event-based food service or other food services including house-to-house bakery products, lunch wagons, and so on.",
83,700-7200-0258,Construction,"Công trường/ công ty xây dựng - Doanh nghiệp tham gia vào việc xây dựng, kiến trúc lớn.","A business that is engaged in the building of something, typically a large structure.",
84,700-7200-0265,Farming,"Nông nghiệp - Doanh ngiệp cung cấp dịch vụ hổ trợ cho các vung sản xuất và quản lý  sợi, nhiên liệu và thực phẩm (Ngủ cốc, nuôi ca và chăn nuôi).","A business that provides support services for lands devoted to the practice of producing and managing fibers, fuel, and food (for example, produce, grains, fish farming or livestock).",
85,700-7200-0268,Food Production,Sản xuất lương thực - Doanh nghiệp tham gia và sản xuất thực phẩm.,A business that is engaged in the production of food.,
86,700-7200-0271,Manufacturing,"Chế tạo, Dây chuyền sản xuất - Doanh nghiệp tham gia vào việc hoàn chỉnh sản phẩm từ nguyên liệu thô, ở quy mô công nghiệp lớn.","A business that is engaged in making something into a finished product using raw materials, especially on a large industrial scale.",
87,700-7200-0274,Motorcycle Service and Maintenance,Dịch vụ bảo trì xe máy - Doanh nghiêp cung cấp dịch vụ bảo dưỡng và sửa chữa xe máy.,A business that provides a service for the maintenance and repair of motorcycles.,
88,700-7200-0276,Finance and Insurance,"Tài chính và bảo hiểm - doanh nghiệp cung cấp dịch vụ ủy thác tín dụng, lưu ký, tài chính công và các cơ sở đại lý (môi giới) trong việc buôn bán hiện kim và chính sách bảo hiểm.","A business that provides trust, fiduciary, and custody services to others, public finance and establishments acting as agents (for example, brokers) in selling annuities and insurance policies.",
89,700-7200-0342,Rental and Leasing,"Dịch vụ thuê mướn - Dịch vụ thuê mướn không bao gồm các loại khác (Vì dụ: Thuê thuyền, thuê dịch thiết bị y tế, thuê xe đạp, cho mướn đồng phục….)","A business that provides rental and leasing services not covered by other categories (for example, boat rentals, medical equipment rental, and so on).",
90,700-7200-0344,Printing and Publishing,"In ấn và xuất bản - Doanh nghiệp cung cấp in ấn và xuất bản sản phẩm báo chi, tạp chí và phần mềm.","A business that provides the printing and publishing of products, such as books, journals, or software.",
91,700-7250-0136,Interior and Exterior Design,Thiết kế nội - ngoại thất - Doanh nghiệp cung cấp dịch vụ trang trí nội ngoại thất và thiết kế.,A business that provides interior and exterior decoration services.,
92,700-7300-0111,Property Management,Quản lý tài sản - Doanh nghiệp hoạt đọng và quản lý bất động sản.,A business that operates and manages real property.,
93,700-7300-0113,Business Facility,"Cơ sở kinh doanh nói chung, vd: văn phòng, công ty, văn phòng đại diện...",A business establishment that employs people in and around the city in which it is located.,
94,700-7400-0000,Police Station,Đồn cảnh sát - Văn phòng trụ sở lực lượng cảnh sát địa phương.,The office or headquarters of a local police force.,
95,700-7400-0133,Fire Department,Sở cứu hỏa - Cơ quan địa phương/ thành phố chịu trách nhiệm phòng cháy chữa cháy. Nhân viên bao gồm toàn thời gian hoặc tình nguyện viên.,A local or municipal authority in charge of preventing and fighting fires. Staff may include full-time employees or volunteers.,
96,700-7400-0137,Consumer Services,"Công ty cung cấp dịch vụ tiêu dùng cho nhiều sản phẩm sử dụng đại chúng. vd: Shopee, Lazada, Sendo, Tiki, Cầm Đồ,...",An organization that provides consumer services for a variety of products used by the public. This is a base-level category that should be used for all Places that do not fit other categories defined for Consumer Services (700-7400-xxxx).,
97,700-7400-0138,Travel Agent-Ticketing,"Đại lý du lịch - bán vé - Doanh nghiệp bán lịch trình du lịch và lịch trình cho hành khách. Dịch vụ bao gồm hàng không và vân chuyển mặt đất. Danh mục này bao gồm tư vấn du lich, môi giới bảo hiểm du lịch, đại lý du lịch, etc..","A business that sells travel arrangements and itineraries for travelers. Services may include air accommodations and ground transportation. This category includes travel advisors, travel insurance brokers, travel agents, and more.",
98,700-7400-0141,Dry Cleaning and Laundry,Giặt ủi và làm sạch - Cung cấp dịch vụ giặt khô và giặt chuyên nghiêp.,A business that provides professional dry cleaning or laundry services.,
99,700-7400-0144,Attorney,Luật sư - Doanh nghiệp cung cấp đại diện pháp lý hoặc tư vấn về pháp luật.,A business that provides legal representation or counsel with respect to legal matters.,
100,700-7400-0146,Business Service,"Dịch vụ kinh doanh - Một cơ sở bán lẻ hoặc kinh doanh cung cấp dịch vụ chuyên nghiệp cho các doanh nghiệp khác, chẳng hạn như in ấn, photocopy, thiết kế đồ họa và quảng cáo.","A retail or business establishment that provides professional services to other businesses, such as printing, photocopying, graphic design and advertising.",
101,700-7400-0147,Photography,"Nhiếp ảnh - Doanh nghiệp cung cấp dịch vụ chụp ảnh chuyên nghiệp, phát triển hình ảnh hoặc cung cấp hình ảnh.","A business that provides professional photography services, the development of photos, or photographic supplies.",
102,700-7400-0149,Repair Service,Dịch vụ sửa chữa - Doanh nghiệp cung cấp dịch vụ sữa chữa cho các loại hàng tiêu dùng. Hầu hết dịch vụ sữa chữa chuyên về sửa chữa điện tử hoặc giày. Danh mục này không bao gồm dịch vụ tự động.,"A business that provides repair service for various types of consumer goods. Most repair service businesses specialize in specific types of repair, such as electronics or shoes. This category excludes auto service.",
103,700-7400-0152,Social Service,"Dịch vụ xã hội - Doanh nghiệp cung cấp dịch vụ hổ trợ những người hoàn cảnh khó khăn, nâng cao phúc lợi cho con người. Dịch vụ xã hội bao gồm các tổ chức tư nhân và chính phủ tài trợ.",A business that provides services to assist disadvantaged people and advance human welfare. Social services includes both private and government funded institutions.,
104,700-7400-0281,Tailor and Alteration,"May đo, sửa chữa - Doanh nghiệp làm, sữa chữa hoặc thay đổi hàng hóa may mặc.","A business that makes, mends, or alters garments.",
105,700-7400-0282,Waste and Sanitary,"Chất thải và vệ sinh - Doanh nghiệp chuyển giao, xử lý, giữ, làm sạch, xử lý chất thải rắn. Có thể được tư nhân hoặc chính phủ tài trợ.","A business that provides the transfer, disposal, holding, cleaning, or treatment of solid waste material. Places may be privately or government funded.",
106,700-7400-0283,Bicycle Service and Maintenance,Dịch vụ bảo trì xe đạp - Doanh nghiêp cung cấp dịch vụ sửa chữa và bảo trì xe đạp.,A business that provides bicycle repair and maintenance services.,
107,700-7400-0284,Bill Payment Service,Dịch vụ thanh toán hóa đơn - Doanh nghiệp cung cấp dịch vụ thanh toán hóa đơn.,A business that provides bill payment services.,
108,700-7400-0285,Body Piercing and Tattoos,Bâm khuyên cơ thể và hình xăm - Doanh nghiệp cung cấp dịch vụ xỏ lỗ trên cơ thể hoặc hình xăm.,A business that provides body piercing or tattoo services.,
109,700-7400-0286,Wedding Services and Bridal Studio,"Dịch vụ cưới và Studio cưới - Doanh nghiệp bán/ cho thuê áo cưới, cung cấp dịch vụ cho cô dâu. Một số doanh nghiệp c1 thể bán sản phẩm cưới hoặc dịch vụ liên quan.",A business that sells or rents bridal gowns or provides bridal services. Some businesses may sell wedding products or other related services.,
110,700-7400-0292,Internet Cafe,Dịch vụ cung cấp Internet Công cộng.,"A business that provides public access to the Internet. Access fees may apply. Some businesses may provide computers, or food and beverage service.",
111,700-7400-0293,Kindergarten and Childcare,"Mẫu giáo và nhà trẻ - Doanh nghiệp cung cấp dịch vụ chăm sóc trẻ sơ sinh hoặc trẻ em. Một số doanh nghiệp có thể cung cấp các chương trìh giáo dục. Các doanh nghiệp chăm sóc trẻ khác có thể bao gồm bảo mẫu, và các dịch vụ vú em khác.","A business that provides day care of infants or children. Some businesses may offer educational programs. Other childcare businesses may include nanny, au pair, and other baby sitting services.",
112,700-7450-0114,Wellness Center and Services,"Trung tâm chăm sóc sức khỏe và dịch vụ -  Doanh nghiệp cung cấp nhiều dịch vụ cho việc cải thiện sức khỏe, sắc đẹp và thư giãn. Các dịch vụ điển hình có thể bao gòm các phương phpa1 điều trị chăm sóc cá nhân như châm cứu, mát xa hoặc y học Trung Quốc.","A business that provides a variety of services for the purpose of improving health, beauty and relaxation. Typical services might include personal care treatments such as acupuncture, massages, or Chinese medicine.",
